iteration,chain,"(""V"", ""evolution_rate"")","(""A"", ""evolution_rate"")",lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,11.6696659967852,12.318424700432132,-1.216620137614732e6,1.0,1.0,0.5869922676712948,-1.216620137614732e6,1.2166202449623235e6,0.5327436318621039,0.5327436318621039,1.0,0.0,0.6473584857095747,0.6473584857095747
502,1,11.680779400272739,12.325828748341177,-1.2166201035817761e6,1.0,1.0,0.9251439832118012,-1.2166201035817761e6,1.2166208865890363e6,0.07780589605681598,0.07780589605681598,1.0,0.0,0.6473584857095747,0.6473584857095747
503,1,11.67260065661401,12.417211672999917,-1.216618468827319e6,3.0,1.0,1.0,-1.216618468827319e6,1.2166194960259933e6,-0.6581760696135461,-0.6581760696135461,2.0,0.0,0.6473584857095747,0.6473584857095747
504,1,11.704691655820472,12.460925723734709,-1.2166179726514935e6,3.0,1.0,0.7191999921305214,-1.2166179726514935e6,1.2166190036231957e6,-0.011731264181435108,0.5861718407832086,2.0,0.0,0.6473584857095747,0.6473584857095747
505,1,11.830002258515922,12.446081232180955,-1.216620827805304e6,7.0,1.0,0.4516272231690354,-1.216620827805304e6,1.2166215302731774e6,1.8880191941279918,1.9223841566126794,3.0,0.0,0.6473584857095747,0.6473584857095747
506,1,11.99890599642715,13.01255432508875,-1.2166213713746867e6,5.0,1.0,1.0,-1.2166213713746867e6,1.2166232934446547e6,-1.0519142812117934,-1.6452771867625415,2.0,0.0,0.6473584857095747,0.6473584857095747
507,1,11.93095884060053,12.71932166868038,-1.2166184600818935e6,3.0,1.0,1.0,-1.2166184600818935e6,1.216621466285062e6,-0.19266676693223417,-0.21901730680838227,2.0,0.0,0.6473584857095747,0.6473584857095747
508,1,11.897563223800654,12.737896609583547,-1.2166178718163823e6,1.0,1.0,1.0,-1.2166178718163823e6,1.2166182439277908e6,-0.2199804673437029,-0.2199804673437029,1.0,0.0,0.6473584857095747,0.6473584857095747
509,1,11.903875358583598,12.79156699677872,-1.2166181860077735e6,7.0,1.0,0.9892340267415446,-1.2166181860077735e6,1.2166184638419342e6,0.025863136164844036,0.028363765217363834,3.0,0.0,0.6473584857095747,0.6473584857095747
510,1,11.85253954859168,12.743265449820102,-1.2166178465943024e6,3.0,1.0,0.9540579092692937,-1.2166178465943024e6,1.2166186332833406e6,0.04753626347519457,0.06307030911557376,1.0,0.0,0.6473584857095747,0.6473584857095747
